
RANKING : OFFICIAL - 2006/2007
fie
Event : S

Weapon : E

Gender : F

09.09.06 Arhus (SA)	15.10.06 Turku (SA)	28.10.06 Copenhague (SA)	11.11.06 Oslo (SA)	25.11.06 Belgrade (SA)	19.01.07 Budapest (GP)	27.01.07 Prague (A)	09.02.07 Rome (GP)	10.02.07 Stockholm (SA)	16.02.07 Barcelone (GP)	24.02.07 Saint-Maur (A)	03.03.07 Tauberbischofsheim (A)	10.03.07 Edinburgh (SA)	10.03.07 St-Petersbourg (A)	17.03.07 Florina (A)	24.03.07 Luxembourg (A)	05.05.07 Split (SA)	18.05.07 Nankin (GP)	26.05.07 Sydney (A)	01.06.07 Montréal (GP)	08.06.07 La Havane (A)	23.06.07 Newcastle (SA)	02.07.07 Gand (CHZ)	12.07.07 Alger (CHZ)	22.08.07 Nantong (CHZ)	27.08.07 Montreal (CHZ)	22.09.07 Istanbul (SA)	30.09.07 St-Petersbourg (CHM)	Total
71	GALANTINE Vanessa	FRA							2.00				2.00	20.00		2.00		(2.00)		8.00	(2.00)	(0.00)	(0.00)								34.00
72	MURONI Marzia	ITA							4.00			4.00		20.00						4.00	2.00										34.00
73	KIM Mi Jung	KOR																		16.00	14.00	4.00									34.00
74	CHEGODAYEVA Anna	RUS						4.00	20.00	8.00		(0.00)				4.00		2.00		(0.00)		(0.00)	(0.00)								32.00
75	YEUNG Chui Ling	HKG																		0.00	4.00	0.00					28.00			0.00	32.00
76	AZNAVOURIAN Karina	RUS						8.00	8.00	16.00		8.00				8.00		(2.00)													32.00
77	GAMIR Zahra	ALG																	1.00			0.00	0.00	2.00		28.00					31.00
78	HASSANEIN Mona	EGY												0.00					2.00							28.00					30.00
79	PEGLIASCO Isabelle	FRA											20.00	4.00		2.00		(0.00)			2.00		2.00								30.00
80	BRAVO ARANGUIZ Caterin	CHI																				0.00	2.00					28.00			30.00
81	SWITZER Ainsley	CAN						0.00	2.00	(0.00)		(0.00)					2.00	(0.00)		(0.00)	2.00	(0.00)	8.00					16.00		0.00	30.00
82	KUUSK Kristina	EST				(2.00)		4.00	4.00	(0.00)		(0.00)	(4.00)	8.00		8.00		(0.00)		4.00		(0.00)	(2.00)		4.00					0.00	30.00
83	MILLS Noam	ISR						0.00		4.00				4.00			8.00	(0.00)				4.00	(0.00)		4.00					6.00	30.00
84	HOSSAM Eman	EGY												0.00					0.00							28.00					28.00
85	HAYOUNI Hajer	TUN																								28.00					28.00
86	SKORNEVSKAJA Ekaterina	KAZ																									28.00			0.00	28.00
87	TAN Li	CHN						8.00	4.00	4.00		(4.00)					(2.00)	(2.00)		(0.00)	8.00	(0.00)	4.00								28.00
88	SABREKOVA Valentina	RUS						16.00	2.00	(0.00)		4.00				4.00		8.00		(0.00)		(0.00)	(0.00)								28.00
89	REVESZ Julianna	HUN						16.00		4.00		4.00		4.00						(0.00)		4.00									28.00
90	PIEKARSKA Magdalena	POL						(0.00)	2.00	4.00		(0.00)	14.00				4.00	(2.00)		4.00											26.00
91	ALEKSEJEVA Olga	EST				4.00		(0.00)		4.00		4.00				2.00				(0.00)	2.00	(0.00)	(0.00)		8.00					6.00	26.00
92	COLIGNON Jeanne	FRA						(0.00)		(0.00)		8.00	(2.00)			4.00		(2.00)		4.00	4.00	4.00	(0.00)								26.00
93	RENTMEISTER Andrea	AUT														4.00	4.00	4.00		(0.00)		8.00	2.00		4.00						26.00
94	DE ANTONIO Raquel	ESP										0.00		8.00				0.00		4.00	2.00				4.00					6.00	24.00
95	ALVAREZ Endrina	VEN						0.00				0.00	2.00	0.00						(0.00)		0.00	(0.00)					16.00		6.00	24.00
96	NARITA Hiroko	JPN							0.00	4.00		4.00	0.00					(0.00)		(0.00)	2.00	(0.00)	(0.00)				8.00			6.00	24.00
97	VOSU Maarika	EST										0.00				4.00				4.00	4.00	4.00			8.00						24.00
98	FORTUNATOVA Nadiya	UKR						4.00		(0.00)		4.00				4.00		(0.00)		(0.00)	4.00	4.00	(0.00)		4.00					0.00	24.00
99	KRYVYTSKA Olena	UKR												4.00		2.00				4.00		0.00			8.00					6.00	24.00
100	CHRISTOU Jeanne	GRE						4.00		4.00		(0.00)		(0.00)			2.00			(0.00)		0.00	4.00		4.00					6.00	24.00
101	BEREZA Malgorzata	POL							0.00	4.00							4.00	14.00												0.00	22.00
102	MOON Sun Kyeong	KOR																		0.00	2.00	4.00					16.00			0.00	22.00
103	WU Haiyan	CHN						4.00	2.00	16.00		0.00								0.00											22.00
104	STROKA Malgorzata	POL				2.00				4.00		8.00	(2.00)	(2.00)			4.00	(0.00)		(0.00)		4.00	(2.00)								22.00
105	YOO Eun Kyoung	KOR																		4.00	0.00	0.00					16.00			0.00	20.00
106	NAVARRIA Mara	ITA						4.00		0.00		(0.00)		4.00				(0.00)				4.00	8.00								20.00
107	DI FRANCO Virginia	ITA				1.00			(0.00)	8.00				8.00				2.00				(0.00)	2.00								20.00
108	BEER Jessica	NZL						0.00	0.00	(0.00)				0.00				4.00			(0.00)	8.00					8.00			0.00	20.00
109	PRUDENTE Yasmine	FRA							8.00	4.00			2.00	(2.00)		(0.00)		2.00			(0.00)		4.00								18.00
110	ROSSI Veronica	ITA						8.00		0.00		8.00		0.00				2.00													18.00
111	QUONDAMCARLO Francesca	ITA						(0.00)		(0.00)		(0.00)		2.00			2.00	(0.00)		4.00	(2.00)	4.00	4.00								18.00
